gender,region,highest_education,imd_band,age_band,disability,final_result
F,East Anglian Region,Lower Than A Level,80-90%,35-55,N,Pass
F,South East Region,A Level or Equivalent,90-100%,35-55,N,Distinction
F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,Withdrawn
F,South East Region,Lower Than A Level,90-100%,35-55,Y,Withdrawn
M,South West Region,A Level or Equivalent,40-50%,35-55,N,Pass
F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,Pass
M,South West Region,A Level or Equivalent,90-100%,0-35,N,Withdrawn
F,North Region,A Level or Equivalent,50-60%,35-55,N,Pass
F,South Region,HE Qualification,80-90%,35-55,N,Pass
M,South West Region,HE Qualification,60-70%,0-35,N,Pass
F,West Midlands Region,A Level or Equivalent,20-30%,0-35,Y,Fail
M,North Region,Lower Than A Level,60-70%,0-35,N,Fail
F,North Region,Lower Than A Level,80-90%,0-35,N,Withdrawn
F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,Withdrawn
F,London Region,A Level or Equivalent,80-90%,0-35,N,Pass
M,London Region,A Level or Equivalent,0-10%,35-55,N,Pass
F,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,Pass
F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,Withdrawn
F,South West Region,A Level or Equivalent,90-100%,0-35,N,Pass
M,East Midlands Region,A Level or Equivalent,40-50%,35-55,N,Withdrawn
M,Scotland,A Level or Equivalent,70-80%,0-35,N,Pass
F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,N,Pass
F,West Midlands Region,Lower Than A Level,10-20%,35-55,N,Pass
M,East Anglian Region,HE Qualification,90-100%,55+,N,Pass
M,North Western Region,HE Qualification,70-80%,35-55,N,Pass
F,North Western Region,A Level or Equivalent,80-90%,0-35,N,Fail
M,South West Region,A Level or Equivalent,30-40%,0-35,N,Pass
F,South West Region,A Level or Equivalent,80-90%,35-55,N,Withdrawn
F,South West Region,A Level or Equivalent,60-70%,0-35,N,Pass
M,London Region,A Level or Equivalent,10-20%,0-35,N,Pass
M,South West Region,HE Qualification,80-90%,35-55,N,Pass
M,London Region,HE Qualification,10-20%,0-35,N,Fail
M,Scotland,HE Qualification,30-40%,35-55,N,Pass
M,South East Region,A Level or Equivalent,50-60%,35-55,N,Distinction
M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,N,Withdrawn
M,Scotland,A Level or Equivalent,90-100%,0-35,N,Pass
F,South West Region,Lower Than A Level,90-100%,0-35,N,Pass
M,London Region,A Level or Equivalent,90-100%,0-35,N,Withdrawn
M,London Region,Lower Than A Level,50-60%,35-55,N,Pass
F,Wales,A Level or Equivalent,30-40%,0-35,N,Withdrawn
M,South West Region,HE Qualification,80-90%,35-55,N,Pass
M,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y,Fail
F,London Region,A Level or Equivalent,10-20%,35-55,N,Distinction
M,London Region,HE Qualification,60-70%,0-35,N,Pass
M,East Midlands Region,Lower Than A Level,50-60%,0-35,N,Pass
M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,Pass
M,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,Pass
M,London Region,A Level or Equivalent,40-50%,0-35,N,Pass
M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,Withdrawn
M,Scotland,Post Graduate Qualification,90-100%,0-35,N,Pass
M,South Region,HE Qualification,90-100%,55+,N,Pass
M,London Region,HE Qualification,80-90%,0-35,N,Pass
M,South Region,A Level or Equivalent,90-100%,0-35,N,Pass
M,East Anglian Region,HE Qualification,90-100%,35-55,N,Pass
F,East Midlands Region,HE Qualification,60-70%,35-55,N,Fail
M,London Region,HE Qualification,20-30%,35-55,N,Pass
M,South West Region,A Level or Equivalent,90-100%,35-55,N,Pass
M,North Western Region,Lower Than A Level,20-30%,0-35,N,Pass
M,Wales,Lower Than A Level,20-30%,35-55,N,Pass
M,North Western Region,HE Qualification,10-20%,0-35,N,Pass
F,West Midlands Region,Lower Than A Level,30-40%,0-35,N,Pass
F,East Anglian Region,Lower Than A Level,70-80%,35-55,N,Pass
F,London Region,A Level or Equivalent,80-90%,35-55,N,Withdrawn
M,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,Pass
F,North Western Region,A Level or Equivalent,30-40%,35-55,N,Pass
M,East Anglian Region,A Level or Equivalent,10-20%,35-55,N,Fail
M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,Withdrawn
M,Scotland,A Level or Equivalent,80-90%,35-55,N,Pass
F,South East Region,A Level or Equivalent,60-70%,0-35,N,Withdrawn
M,London Region,Lower Than A Level,40-50%,0-35,N,Distinction
F,Scotland,A Level or Equivalent,30-40%,0-35,N,Pass
M,Wales,Lower Than A Level,70-80%,35-55,N,Fail
M,North Western Region,HE Qualification,30-40%,0-35,N,Fail
M,South West Region,A Level or Equivalent,30-40%,35-55,N,Pass
M,South East Region,A Level or Equivalent,90-100%,35-55,N,Pass
M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,Pass
M,Wales,A Level or Equivalent,20-30%,0-35,N,Pass
M,North Western Region,A Level or Equivalent,30-40%,0-35,N,Pass
M,South East Region,A Level or Equivalent,90-100%,35-55,N,Distinction
F,South East Region,A Level or Equivalent,90-100%,35-55,N,Withdrawn
M,East Midlands Region,A Level or Equivalent,70-80%,0-35,N,Pass
M,South East Region,HE Qualification,90-100%,55+,N,Pass
M,South East Region,A Level or Equivalent,90-100%,0-35,N,Pass
M,South East Region,A Level or Equivalent,40-50%,35-55,N,Fail
M,South Region,Post Graduate Qualification,90-100%,55+,N,Distinction
F,South East Region,HE Qualification,80-90%,0-35,N,Pass
M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,Pass
F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N,Fail
M,North Western Region,A Level or Equivalent,70-80%,0-35,N,Fail
M,West Midlands Region,A Level or Equivalent,70-80%,0-35,Y,Pass
F,Wales,Lower Than A Level,80-90%,0-35,N,Withdrawn
M,West Midlands Region,A Level or Equivalent,50-60%,35-55,N,Pass
M,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,Pass
F,London Region,A Level or Equivalent,10-20%,0-35,N,Pass
F,East Midlands Region,HE Qualification,10-20%,0-35,N,Pass
M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,Pass
M,South West Region,A Level or Equivalent,60-70%,55+,N,Pass
M,South Region,Post Graduate Qualification,90-100%,55+,N,Distinction
M,South Region,A Level or Equivalent,90-100%,0-35,N,Pass
F,East Anglian Region,HE Qualification,80-90%,0-35,N,Pass
F,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,Pass
M,South Region,HE Qualification,90-100%,55+,N,Pass
M,East Anglian Region,HE Qualification,40-50%,35-55,N,Pass
F,South West Region,A Level or Equivalent,10-20%,35-55,N,Pass
M,South East Region,A Level or Equivalent,90-100%,0-35,N,Pass
F,South Region,HE Qualification,90-100%,35-55,N,Withdrawn
F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,Pass
M,Scotland,A Level or Equivalent,20-30%,0-35,N,Pass
M,Scotland,HE Qualification,80-90%,0-35,N,Pass
F,London Region,A Level or Equivalent,50-60%,0-35,N,Fail
F,South West Region,A Level or Equivalent,0-10%,0-35,Y,Withdrawn
F,South East Region,A Level or Equivalent,20-30%,0-35,N,Withdrawn
M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,Pass
M,North Region,A Level or Equivalent,80-90%,0-35,N,Pass
M,East Anglian Region,Lower Than A Level,40-50%,0-35,N,Fail
F,West Midlands Region,HE Qualification,70-80%,0-35,N,Withdrawn
M,Scotland,Lower Than A Level,50-60%,55+,N,Pass
M,Yorkshire Region,HE Qualification,0-10%,0-35,N,Pass
M,Ireland,HE Qualification,70-80%,35-55,N,Pass
M,Yorkshire Region,A Level or Equivalent,10-20%,0-35,N,Fail
M,East Anglian Region,A Level or Equivalent,60-70%,0-35,Y,Pass
M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,N,Distinction
M,East Anglian Region,A Level or Equivalent,50-60%,0-35,N,Pass
F,Scotland,HE Qualification,50-60%,35-55,N,Fail
M,North Western Region,HE Qualification,80-90%,35-55,N,Pass
M,South Region,HE Qualification,90-100%,35-55,N,Withdrawn
M,Yorkshire Region,A Level or Equivalent,10-20%,0-35,N,Fail
M,East Anglian Region,Lower Than A Level,70-80%,35-55,N,Fail
F,London Region,A Level or Equivalent,0-10%,0-35,N,Pass
M,East Anglian Region,Lower Than A Level,10-20%,35-55,N,Pass
M,South West Region,HE Qualification,40-50%,0-35,N,Pass
F,South West Region,A Level or Equivalent,50-60%,0-35,Y,Pass
M,Wales,HE Qualification,50-60%,35-55,N,Fail
M,Yorkshire Region,Lower Than A Level,0-10%,0-35,N,Pass
F,South Region,A Level or Equivalent,80-90%,35-55,N,Pass
M,East Midlands Region,A Level or Equivalent,80-90%,0-35,N,Pass
M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,Pass
M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,N,Pass
F,London Region,Lower Than A Level,80-90%,35-55,N,Pass
M,South West Region,A Level or Equivalent,90-100%,35-55,N,Pass
M,Scotland,A Level or Equivalent,0-10%,0-35,N,Withdrawn
M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,Fail
F,North Western Region,A Level or Equivalent,50-60%,35-55,N,Pass
M,North Western Region,A Level or Equivalent,60-70%,0-35,N,Pass
M,Yorkshire Region,HE Qualification,50-60%,0-35,N,Pass
M,Yorkshire Region,Lower Than A Level,90-100%,0-35,N,Fail
F,South East Region,Lower Than A Level,80-90%,0-35,N,Pass
M,South West Region,Lower Than A Level,50-60%,35-55,N,Pass
M,Wales,Lower Than A Level,20-30%,35-55,N,Pass
M,North Region,A Level or Equivalent,20-30%,0-35,N,Pass
M,Scotland,A Level or Equivalent,90-100%,0-35,Y,Withdrawn
M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,N,Pass
M,West Midlands Region,HE Qualification,0-10%,35-55,N,Withdrawn
M,Scotland,A Level or Equivalent,40-50%,0-35,Y,Fail
F,North Western Region,A Level or Equivalent,70-80%,0-35,N,Pass
F,South East Region,A Level or Equivalent,70-80%,0-35,N,Pass
M,London Region,A Level or Equivalent,20-30%,0-35,N,Pass
M,South West Region,HE Qualification,80-90%,0-35,N,Withdrawn
M,London Region,HE Qualification,30-40%,0-35,N,Distinction
M,South East Region,HE Qualification,90-100%,35-55,N,Withdrawn
F,South West Region,A Level or Equivalent,20-30%,0-35,N,Pass
F,North Region,A Level or Equivalent,80-90%,0-35,N,Fail
M,South East Region,HE Qualification,80-90%,0-35,N,Pass
M,North Western Region,HE Qualification,80-90%,35-55,N,Pass
M,London Region,A Level or Equivalent,40-50%,0-35,N,Pass
M,South East Region,HE Qualification,90-100%,0-35,N,Pass
M,North Western Region,HE Qualification,40-50%,0-35,N,Pass
M,South East Region,HE Qualification,60-70%,0-35,N,Pass
M,West Midlands Region,HE Qualification,80-90%,0-35,N,Fail
F,Scotland,HE Qualification,30-40%,0-35,N,Withdrawn
M,West Midlands Region,HE Qualification,70-80%,0-35,N,Pass
M,Ireland,HE Qualification,90-100%,0-35,N,Pass
M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,Fail
M,South West Region,A Level or Equivalent,90-100%,0-35,N,Pass
M,South Region,Post Graduate Qualification,90-100%,35-55,N,Pass
M,Scotland,Post Graduate Qualification,90-100%,35-55,N,Fail
M,South Region,HE Qualification,90-100%,55+,N,Pass
M,West Midlands Region,A Level or Equivalent,60-70%,55+,N,Distinction
F,South Region,Lower Than A Level,50-60%,55+,N,Withdrawn
M,South Region,Lower Than A Level,70-80%,55+,N,Pass
M,West Midlands Region,A Level or Equivalent,60-70%,55+,N,Distinction
F,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,Pass
F,South West Region,A Level or Equivalent,50-60%,35-55,N,Pass
M,North Western Region,HE Qualification,40-50%,35-55,N,Pass
F,East Anglian Region,A Level or Equivalent,40-50%,35-55,N,Pass
M,South West Region,A Level or Equivalent,80-90%,35-55,N,Withdrawn
F,West Midlands Region,HE Qualification,90-100%,35-55,N,Pass
M,South Region,HE Qualification,90-100%,35-55,N,Pass
F,London Region,Lower Than A Level,30-40%,35-55,N,Pass
M,Scotland,HE Qualification,80-90%,55+,N,Pass
M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,N,Withdrawn
M,West Midlands Region,A Level or Equivalent,70-80%,35-55,N,Fail
F,East Midlands Region,HE Qualification,30-40%,35-55,N,Pass
F,Yorkshire Region,A Level or Equivalent,10-20%,35-55,N,Fail
M,South West Region,A Level or Equivalent,90-100%,35-55,N,Withdrawn
M,West Midlands Region,HE Qualification,40-50%,35-55,N,Pass
F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y,Fail
M,London Region,A Level or Equivalent,70-80%,35-55,N,Pass
F,South East Region,Lower Than A Level,80-90%,35-55,N,Pass
M,London Region,Lower Than A Level,90-100%,35-55,N,Pass
M,South Region,HE Qualification,90-100%,35-55,N,Fail
M,North Western Region,A Level or Equivalent,60-70%,35-55,N,Distinction
M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,Pass
F,North Western Region,Lower Than A Level,50-60%,35-55,N,Withdrawn
F,Scotland,HE Qualification,40-50%,35-55,N,Pass
M,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,Pass
M,South Region,Lower Than A Level,30-40%,35-55,N,Withdrawn
F,Scotland,A Level or Equivalent,10-20%,35-55,N,Withdrawn
M,South East Region,HE Qualification,70-80%,55+,N,Pass
M,Scotland,A Level or Equivalent,30-40%,35-55,N,Pass
M,South West Region,Lower Than A Level,40-50%,35-55,N,Pass
M,South West Region,Lower Than A Level,40-50%,35-55,Y,Pass
M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,N,Pass
F,South Region,A Level or Equivalent,70-80%,35-55,Y,Pass
F,East Midlands Region,A Level or Equivalent,80-90%,0-35,N,Pass
M,South Region,A Level or Equivalent,90-100%,35-55,N,Pass
F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y,Pass
M,West Midlands Region,Lower Than A Level,0-10%,35-55,N,Withdrawn
M,Ireland,Lower Than A Level,50-60%,35-55,N,Pass
F,East Anglian Region,A Level or Equivalent,90-100%,0-35,Y,Pass
M,North Western Region,Lower Than A Level,30-40%,35-55,N,Pass
F,South West Region,Lower Than A Level,70-80%,35-55,N,Pass
F,East Anglian Region,A Level or Equivalent,60-70%,0-35,N,Fail
M,London Region,A Level or Equivalent,30-40%,35-55,Y,Withdrawn
F,London Region,Lower Than A Level,30-40%,35-55,N,Withdrawn
F,South Region,A Level or Equivalent,90-100%,35-55,N,Pass
F,West Midlands Region,A Level or Equivalent,0-10%,0-35,N,Pass
F,South West Region,Lower Than A Level,50-60%,35-55,N,Fail
M,West Midlands Region,Lower Than A Level,0-10%,35-55,N,Pass
F,North Western Region,Lower Than A Level,80-90%,35-55,N,Distinction
M,London Region,A Level or Equivalent,50-60%,35-55,N,Withdrawn
F,South Region,Lower Than A Level,70-80%,35-55,N,Pass
M,North Western Region,HE Qualification,20-30%,55+,N,Pass
M,Scotland,A Level or Equivalent,70-80%,35-55,Y,Withdrawn
F,Yorkshire Region,A Level or Equivalent,40-50%,0-35,N,Pass
F,West Midlands Region,Lower Than A Level,80-90%,0-35,Y,Pass
F,North Western Region,A Level or Equivalent,40-50%,0-35,N,Fail
F,Yorkshire Region,A Level or Equivalent,30-40%,35-55,N,Pass
F,London Region,A Level or Equivalent,70-80%,35-55,N,Pass
F,East Anglian Region,A Level or Equivalent,50-60%,35-55,N,Pass
F,North Western Region,HE Qualification,30-40%,35-55,N,Pass
M,Scotland,A Level or Equivalent,20-30%,0-35,N,Pass
F,West Midlands Region,A Level or Equivalent,10-20%,35-55,N,Pass
F,South Region,A Level or Equivalent,80-90%,35-55,N,Withdrawn
F,East Midlands Region,A Level or Equivalent,20-30%,0-35,N,Pass
M,South Region,Lower Than A Level,30-40%,35-55,N,Pass
M,South Region,A Level or Equivalent,90-100%,0-35,N,Pass
F,East Midlands Region,HE Qualification,20-30%,35-55,N,Withdrawn
M,Wales,A Level or Equivalent,90-100%,35-55,N,Withdrawn
F,Scotland,HE Qualification,90-100%,35-55,N,Withdrawn
F,East Anglian Region,Lower Than A Level,40-50%,35-55,N,Pass
F,London Region,Lower Than A Level,40-50%,0-35,N,Distinction
M,Yorkshire Region,Lower Than A Level,20-30%,35-55,N,Fail
F,Yorkshire Region,A Level or Equivalent,60-70%,0-35,N,Fail
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,Withdrawn
F,Scotland,HE Qualification,90-100%,0-35,Y,Pass
M,South East Region,HE Qualification,20-30%,0-35,N,Withdrawn
F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N,Pass
F,London Region,Lower Than A Level,70-80%,35-55,N,Pass
F,East Midlands Region,A Level or Equivalent,20-30%,0-35,N,Pass
M,South Region,A Level or Equivalent,90-100%,0-35,N,Withdrawn
F,South Region,A Level or Equivalent,80-90%,0-35,N,Fail
M,Scotland,HE Qualification,20-30%,0-35,N,Withdrawn
M,South West Region,Lower Than A Level,50-60%,35-55,N,Distinction
F,South Region,A Level or Equivalent,80-90%,35-55,N,Pass
M,London Region,A Level or Equivalent,10-20%,35-55,Y,Withdrawn
F,North Region,A Level or Equivalent,30-40%,0-35,N,Pass
F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N,Pass
M,Scotland,Lower Than A Level,80-90%,35-55,N,Fail
M,South Region,Lower Than A Level,80-90%,35-55,N,Pass
M,London Region,Lower Than A Level,80-90%,35-55,N,Pass
M,Scotland,HE Qualification,90-100%,55+,N,Pass
M,South Region,HE Qualification,70-80%,55+,N,Fail
F,Yorkshire Region,Lower Than A Level,20-30%,35-55,N,Fail
F,Scotland,HE Qualification,50-60%,55+,N,Withdrawn
M,North Western Region,A Level or Equivalent,40-50%,0-35,N,Pass
M,Wales,Lower Than A Level,80-90%,35-55,N,Pass
M,South Region,Lower Than A Level,90-100%,0-35,N,Pass
F,East Anglian Region,HE Qualification,90-100%,0-35,N,Pass
F,North Western Region,Lower Than A Level,40-50%,0-35,N,Pass
M,South East Region,HE Qualification,40-50%,35-55,N,Pass
M,East Midlands Region,A Level or Equivalent,90-100%,0-35,N,Pass
F,London Region,Lower Than A Level,10-20%,0-35,N,Pass
M,North Western Region,A Level or Equivalent,20-30%,55+,N,Pass
F,North Western Region,HE Qualification,60-70%,35-55,N,Pass
F,East Anglian Region,A Level or Equivalent,80-90%,0-35,N,Pass
M,South Region,HE Qualification,90-100%,55+,N,Distinction
F,West Midlands Region,Lower Than A Level,40-50%,0-35,N,Withdrawn
F,South Region,Lower Than A Level,90-100%,0-35,N,Pass
F,South Region,HE Qualification,80-90%,35-55,N,Withdrawn
F,South Region,HE Qualification,90-100%,35-55,N,Pass
M,Yorkshire Region,HE Qualification,80-90%,55+,N,Pass
M,South West Region,Lower Than A Level,30-40%,0-35,N,Pass
M,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,Pass
F,South Region,A Level or Equivalent,80-90%,0-35,N,Pass
F,South Region,A Level or Equivalent,90-100%,35-55,N,Pass
M,South Region,A Level or Equivalent,90-100%,0-35,N,Withdrawn
M,Yorkshire Region,Lower Than A Level,70-80%,35-55,N,Pass
M,North Western Region,A Level or Equivalent,70-80%,0-35,N,Withdrawn
F,West Midlands Region,A Level or Equivalent,10-20%,0-35,Y,Pass
F,East Anglian Region,Lower Than A Level,80-90%,35-55,N,Pass
F,South West Region,A Level or Equivalent,50-60%,0-35,N,Pass
F,East Anglian Region,A Level or Equivalent,80-90%,35-55,N,Pass
F,Scotland,A Level or Equivalent,30-40%,0-35,N,Pass
M,West Midlands Region,A Level or Equivalent,20-30%,0-35,N,Pass
F,East Midlands Region,A Level or Equivalent,90-100%,0-35,N,Pass
F,London Region,Lower Than A Level,10-20%,35-55,N,Pass
F,Yorkshire Region,A Level or Equivalent,80-90%,0-35,N,Pass
M,West Midlands Region,A Level or Equivalent,40-50%,0-35,Y,Fail
M,East Midlands Region,A Level or Equivalent,10-20%,0-35,N,Pass
F,North Western Region,A Level or Equivalent,90-100%,35-55,N,Pass
M,South East Region,Lower Than A Level,30-40%,35-55,N,Pass
M,East Midlands Region,Lower Than A Level,50-60%,35-55,N,Pass
F,South West Region,A Level or Equivalent,80-90%,35-55,N,Pass
F,South West Region,A Level or Equivalent,40-50%,0-35,N,Pass
M,East Anglian Region,Lower Than A Level,60-70%,35-55,N,Distinction
M,London Region,A Level or Equivalent,0-10%,35-55,N,Pass
M,South East Region,HE Qualification,90-100%,35-55,N,Pass
M,North Western Region,A Level or Equivalent,90-100%,0-35,N,Pass
M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,Fail
M,London Region,HE Qualification,20-30%,55+,N,Pass
F,North Region,HE Qualification,10-20%,0-35,N,Fail
F,South Region,A Level or Equivalent,80-90%,0-35,N,Pass
F,East Midlands Region,Lower Than A Level,30-40%,0-35,N,Pass
M,East Anglian Region,A Level or Equivalent,10-20%,0-35,N,Pass
M,East Anglian Region,A Level or Equivalent,40-50%,35-55,N,Distinction
F,West Midlands Region,A Level or Equivalent,50-60%,0-35,N,Distinction
M,South Region,A Level or Equivalent,40-50%,35-55,N,Pass
M,East Anglian Region,A Level or Equivalent,70-80%,35-55,N,Pass
M,East Midlands Region,Lower Than A Level,60-70%,0-35,N,Pass
M,Scotland,HE Qualification,80-90%,55+,N,Pass
F,South Region,Lower Than A Level,60-70%,0-35,N,Pass
F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,Distinction
M,Yorkshire Region,Lower Than A Level,40-50%,35-55,N,Pass
F,South West Region,A Level or Equivalent,40-50%,0-35,N,Pass
M,North Region,HE Qualification,30-40%,35-55,N,Pass
F,Yorkshire Region,Lower Than A Level,0-10%,35-55,N,Pass
F,West Midlands Region,A Level or Equivalent,60-70%,0-35,N,Pass
M,East Anglian Region,HE Qualification,90-100%,55+,N,Pass
F,Wales,A Level or Equivalent,70-80%,0-35,N,Pass
F,East Midlands Region,A Level or Equivalent,10-20%,0-35,N,Pass
M,South East Region,A Level or Equivalent,80-90%,35-55,N,Pass
F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N,Fail
F,Scotland,HE Qualification,40-50%,0-35,N,Pass
M,North Western Region,A Level or Equivalent,40-50%,0-35,N,Pass
M,South Region,Lower Than A Level,80-90%,35-55,N,Withdrawn
F,South West Region,Lower Than A Level,30-40%,0-35,N,Pass
M,Scotland,A Level or Equivalent,50-60%,35-55,N,Pass
M,London Region,Lower Than A Level,80-90%,35-55,N,Pass
M,South East Region,Lower Than A Level,10-20%,35-55,N,Withdrawn
M,South Region,Lower Than A Level,70-80%,35-55,N,Pass
M,South East Region,Lower Than A Level,90-100%,0-35,N,Withdrawn
F,East Anglian Region,Lower Than A Level,60-70%,35-55,N,Pass
F,London Region,HE Qualification,20-30%,0-35,N,Pass
M,London Region,HE Qualification,80-90%,55+,N,Pass
F,South Region,HE Qualification,90-100%,0-35,N,Pass
M,Wales,A Level or Equivalent,40-50%,0-35,N,Fail
F,London Region,A Level or Equivalent,40-50%,35-55,N,Pass
F,South West Region,A Level or Equivalent,60-70%,35-55,N,Withdrawn
F,South West Region,A Level or Equivalent,40-50%,35-55,N,Pass
F,South East Region,A Level or Equivalent,60-70%,0-35,N,Distinction
M,South Region,HE Qualification,70-80%,35-55,N,Pass
M,West Midlands Region,A Level or Equivalent,50-60%,0-35,N,Withdrawn
F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,Pass
F,South Region,A Level or Equivalent,70-80%,35-55,N,Pass
M,South East Region,A Level or Equivalent,10-20%,0-35,N,Pass
M,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,Pass
F,South Region,A Level or Equivalent,70-80%,35-55,N,Pass
M,North Region,Lower Than A Level,0-10%,0-35,N,Pass
F,East Anglian Region,Lower Than A Level,20-30%,0-35,N,Withdrawn
F,South East Region,Lower Than A Level,90-100%,35-55,Y,Pass
M,East Anglian Region,Lower Than A Level,90-100%,35-55,N,Distinction
M,South East Region,A Level or Equivalent,90-100%,35-55,N,Fail
M,South West Region,A Level or Equivalent,90-100%,0-35,N,Pass
M,Scotland,A Level or Equivalent,20-30%,35-55,N,Fail
M,East Anglian Region,Lower Than A Level,30-40%,35-55,Y,Pass
M,North Region,Lower Than A Level,60-70%,0-35,N,Pass
F,North Western Region,A Level or Equivalent,30-40%,35-55,Y,Pass
F,Scotland,A Level or Equivalent,20-30%,35-55,N,Pass
M,West Midlands Region,A Level or Equivalent,60-70%,0-35,N,Pass
F,Wales,A Level or Equivalent,0-10%,0-35,N,Withdrawn
F,South Region,Lower Than A Level,90-100%,0-35,N,Withdrawn
F,East Anglian Region,Lower Than A Level,70-80%,0-35,N,Pass
F,South East Region,A Level or Equivalent,80-90%,0-35,N,Withdrawn
M,East Midlands Region,A Level or Equivalent,40-50%,35-55,N,Withdrawn
F,East Anglian Region,A Level or Equivalent,40-50%,0-35,Y,Pass
F,Wales,A Level or Equivalent,30-40%,0-35,N,Fail
M,South West Region,HE Qualification,70-80%,55+,N,Pass
M,North Region,A Level or Equivalent,10-20%,35-55,N,Pass
